prey predator tau1
5.6220644e-05 0.51471227 0.1825
0.28509161 0.22972356 0.1825
5.6221084e-05 0.51470727 0.1825
0.28509137 0.22972816 0.1825
5.6221525e-05 0.51470232 0.1825
0.28509113 0.22973269 0.1825
5.6221961e-05 0.51469743 0.1825
0.28509092 0.22973715 0.1825
5.6222405e-05 0.51471311 0.1825
0.28509068 0.22972199 0.1825
5.6222845e-05 0.51470792 0.1825
0.28509045 0.22972678 0.1825
5.6223285e-05 0.5147028 0.1825
0.25409672 0.23055527 0.19975001
0.00015702183 0.48444009 0.19975001
0.25409654 0.23056872 0.19975001
0.00015702281 0.48444656 0.19975001
0.25409633 0.23056249 0.19975001
0.00015702379 0.48445314 0.19975001
0.25409612 0.2305561 0.19975001
0.00015702478 0.48443866 0.19975001
0.25409594 0.2305696 0.19975001
0.00015702577 0.48444501 0.19975001
0.25409573 0.23056349 0.19975001
0.00015702675 0.48445147 0.19975001
0.25409555 0.23055723 0.19975001
0.00015702774 0.48443696 0.19975001
0.25409535 0.23057075 0.19975001
0.00015702873 0.48444316 0.19975001
0.25409514 0.23056476 0.19975001
0.0001570297 0.48444951 0.19975001
0.00039097323 0.45594305 0.21699999
0.22485416 0.23153615 0.21699999
0.00039097515 0.45593569 0.21699999
0.22485401 0.23154274 0.21699999
0.00039097705 0.4559285 0.21699999
0.22485383 0.23153053 0.21699999
0.00039097902 0.45594135 0.21699999
0.22485368 0.23153733 0.21699999
0.00039098095 0.45593396 0.21699999
0.22485352 0.23152487 0.21699999
0.00039098284 0.45594701 0.21699999
0.22485334 0.23153189 0.21699999
0.00039098479 0.45593941 0.21699999
0.22485319 0.23153871 0.21699999
0.00039098671 0.45593199 0.21699999
0.22485302 0.2315264 0.21699999
0.00039098863 0.45594493 0.21699999
0.22485286 0.23153344 0.21699999
0.00039099055 0.45593727 0.21699999
0.19664347 0.23283255 0.23424999
0.0008939071 0.42851925 0.23424999
0.19664335 0.23283915 0.23424999
0.00089391047 0.42853153 0.23424999
0.1966432 0.23282769 0.23424999
0.00089391385 0.42852411 0.23424999
0.19664307 0.23283446 0.23424999
0.00089391717 0.42851686 0.23424999
0.19664295 0.23282281 0.23424999
0.00089392054 0.42852899 0.23424999
0.1966428 0.23282973 0.23424999
0.00089392392 0.42852157 0.23424999
0.19664268 0.2328365 0.23424999
0.0008939273 0.42853391 0.23424999
0.19664255 0.232825 0.23424999
0.00089393067 0.42852631 0.23424999
0.19664241 0.23283193 0.23424999
0.00089393405 0.42851889 0.23424999
0.19664228 0.23283868 0.23424999
0.0019090868 0.40182889 0.25150001
0.1690314 0.23476057 0.25150001
0.0019090921 0.40181625 0.25150001
0.16903128 0.23475532 0.25150001
0.0019090975 0.40182188 0.25150001
0.16903117 0.23474997 0.25150001
0.0019091028 0.4018276 0.25150001
0.16903108 0.23476149 0.25150001
0.0019091081 0.40181497 0.25150001
0.16903096 0.23475631 0.25150001
0.0019091135 0.40182051 0.25150001
0.16903086 0.234751 0.25150001
0.0019091188 0.40182617 0.25150001
0.16903077 0.23474561 0.25150001
0.0019091241 0.40183195 0.25150001
0.16903065 0.23475738 0.25150001
0.0019091294 0.40181905 0.25150001
0.16903055 0.23475213 0.25150001
0.0019091348 0.40182465 0.25150001
0.14156364 0.23777133 0.26875001
0.0038704504 0.37541708 0.26875001
0.14156356 0.23778236 0.26875001
0.0038704581 0.37542138 0.26875001
0.14156349 0.2377784 0.26875001
0.0038704658 0.3754257 0.26875001
0.1415634 0.23777437 0.26875001
0.0038704732 0.37543011 0.26875001
0.14156333 0.23777027 0.26875001
0.0038704809 0.37541792 0.26875001
0.14156325 0.23778138 0.26875001
0.0038704886 0.37542218 0.26875001
0.14156316 0.23777741 0.26875001
0.0038704961 0.37542653 0.26875001
0.14156309 0.2377734 0.26875001
0.0038705035 0.37543091 0.26875001
0.14156301 0.23778439 0.26875001
0.0038705112 0.37541863 0.26875001
0.14156294 0.2377805 0.26875001
0.11329328 0.24281396 0.28600001
0.0076601515 0.34840748 0.28600001
0.11329322 0.24282183 0.28600001
0.0076601612 0.34841236 0.28600001
0.11329317 0.2428173 0.28600001
0.0076601706 0.34841737 0.28600001
0.11329312 0.24281269 0.28600001
0.0076601803 0.3484087 0.28600001
0.11329307 0.24282062 0.28600001
0.0076601901 0.34841359 0.28600001
0.11329301 0.24281608 0.28600001
0.0076601994 0.34841859 0.28600001
0.11329296 0.24282388 0.28600001
0.0076602097 0.34840989 0.28600001
0.1132929 0.24281943 0.28600001
0.007660219 0.34841481 0.28600001
0.11329285 0.24281487 0.28600001
0.0076602288 0.3484062 0.28600001
0.1132928 0.24282274 0.28600001
0.0076602385 0.34841105 0.28600001
0.081263468 0.25260207 0.30325001
0.015964983 0.31786856 0.30325001
0.081263438 0.25260159 0.30325001
0.015964994 0.31786907 0.30325001
0.081263408 0.25260109 0.30325001
0.015965004 0.3178696 0.30325001
0.081263378 0.25260061 0.30325001
0.015965015 0.31787011 0.30325001
0.081263356 0.25260013 0.30325001
0.015965024 0.31787062 0.30325001
0.081263326 0.25259963 0.30325001
0.015965033 0.31787112 0.30325001
0.081263296 0.25259915 0.30325001
0.015965044 0.31787163 0.30325001
0.081263267 0.25259867 0.30325001
0.015965054 0.31787214 0.30325001
0.081263244 0.25259817 0.30325001
0.015965065 0.31787267 0.30325001
0.081263214 0.25259769 0.30325001
0.015965074 0.31787318 0.30325001
0.040142819 0.27236825 0.32049999
0.041277468 0.27123407 0.32049999
0.040165402 0.27234566 0.32049999
0.04125496 0.2712566 0.32049999
0.040187091 0.27232394 0.32049999
0.041233353 0.2712782 0.32049999
0.040207926 0.27230322 0.32049999
0.041212615 0.27129894 0.32049999
0.040227938 0.2722832 0.32049999
0.041192707 0.27131873 0.32049999
0.040247157 0.27226394 0.32049999
0.041173596 0.27133787 0.32049999
0.04026562 0.27224547 0.32049999
0.041155249 0.27135623 0.32049999
0.040283356 0.27222782 0.32049999
0.041137639 0.27137387 0.32049999
0.040300388 0.27221078 0.32049999
0.04112073 0.27139077 0.32049999
0.040316746 0.27219442 0.32049999
0.041104503 0.27140701 0.32049999
0.040713441 0.25142622 0.33774999
0.040713415 0.25142625 0.33774999
0.040713437 0.25142622 0.33774999
0.040713415 0.25142625 0.33774999
0.040713433 0.25142622 0.33774999
0.040713418 0.25142625 0.33774999
0.040713433 0.25142622 0.33774999
0.040713418 0.25142625 0.33774999
0.040713433 0.25142622 0.33774999
0.040713418 0.25142625 0.33774999
0.040713429 0.25142622 0.33774999
0.040713418 0.25142625 0.33774999
0.040713429 0.25142622 0.33774999
0.040713422 0.25142625 0.33774999
0.040713429 0.25142622 0.33774999
0.040713422 0.25142625 0.33774999
0.040713429 0.25142622 0.33774999
0.040713422 0.25142625 0.33774999
0.040713429 0.25142622 0.33774999
0.040713426 0.23188217 0.35499999
0.040713426 0.21308695 0.37224999
0.040713426 0.195011 0.38949999
0.040713426 0.17763944 0.40674999
0.040713426 0.16089322 0.42399999
0.040713426 0.14474687 0.44125
0.040713426 0.12916647 0.4585
0.040713426 0.11410462 0.47575
0.040713426 0.099551283 0.493
0.040713426 0.085499547 0.51024997
0.040713426 0.071854815 0.52749997
0.040713426 0.058634706 0.54474998
0.040713426 0.045844637 0.56199998
0.040713426 0.033456646 0.57924998
0.040713426 0.021371035 0.59649998
0.040713426 0.0096527236 0.61374998
0.039023679 8.8282184e-07 0.63099998
0.027965048 2.6753176e-27 0.64824998
0.017171191 0 0.66549999
0.0067010601 0 0.68274999
7.4517406e-21 0 0.69999999
